patent_number,title
US4760A,Blacksmith s fobge 
US4761A,Steelyard 
US4762A,Improvement in cultivators 
US4763A,Beehive 
US4764A,Improvement in whaling-lances 
US4765A,Daniel barnum 
US4766A,Stbaw-cutter 
US4767A,Pike-engine 
US4768A,Improvement in machinery for double-seam ing 
US4769A,Self-setting tail-block 
US4770A,photo-litho 
US4771A,Cooking-stove 
US4772A,Machinery for rolling hoop-iron 
US4773A,Hame fob 
US4774A,Kilbt-dbying geain 
US4775A,Carbiagke-bkake 
US4776A,Rotary engine 
US4777A,Kimf-drying grain 
US4778A,Improvement in cardi ng 
US4779A,Improvement in self-acting mules 
US4780A,James t 
US4781A,James richards 
US4782A,ganahl 
US4783A,Glass-ftjbitace 
US4784A,Walden eddy 
US4785A,Cooking-stove 
US4786A,Glass lens 
US4787A,Lath-cutting machine 
US4788A,Charles panshaw 
US4789A,Georges michiels 
US4790A,Improvement in making sugar 
US4791A,john g 
US4792A,Improvement in fruit-gatherers 
US4793A,Boot-crimp 
US4794A,Straw-cutter 
US4795A,Carriage-step 
US4796A,Fire-engine 
US4797A,passmore 
US4798A,Apparatus foe constructing cisterns 
US4799A,Washing-machine 
US4800A,Improvement in gas-engines 
US4801A,Fireplace-ghats 
US4802A,Coupling for railroad-cars 
US4803A,Improvement in making molds for castings 
US4804A,Cooking-stove 
US4805A,Cobjst-shelleb 
US4806A,Corn-sheller 
US4807A,Improvement 
US4808A,Improvement in lanterns for destroying insects 
US4809A,Carriage-axle 
US4810A,Windlass 
US4811A,Rogers  
US4812A,Improvement in locomotive-carriages 
US4813A,Improvement in preparing grain for flouring 
US4814A,A brush trimmer 
US4815A,Foster  
US4816A,Bell machinery for hotels 
US4817A,Improvement in cotton-gins 
US4818A,Improvement in hay and cotton presses 
US4819A,Feeding apparatus for 
US4820A,Improvement in steam-engines 
US4821A,Josiah c 
US4822A,Improvement in the manufacture of steel 
US4823A,Pump fob 
US4824A,william read 
US4825A,Pessary 
US4826A,Boiler fob 
US4827A,fuller 
US4828A,Detaching horses from carriages 
US4829A,Boeing and cutting screws on bedsteads 
US4830A,Cooking-bange 
US4831A,Tailor s measure 
US4832A,John sohriber 
US4833A,Improvement in seed-planters 
US4834A,Abtificial leg 
US4835A,Machine fob 
US4836A,Shower-bath 
US4837A,Bridge 
US4838A,Printing in colors 
US4839A,Improvement in pen and pencil cases 
US4840A,bagley 
US4841A,Machinery for making guards for cap-spinners 
US4842A,Dry-dock 
US4843A,Thomas rowand 
US4844A,Improvement in water-wheels 
US4845A,Improvement in water-wh eels 
US4846A,Kotaey shears 
US4847A,stafford 
US4848A,Improvement in surgical operations 
US4849A,Coitee-koasteb 
US4850A,Washing-machine 
US4851A,beschermann 
US4852A,Cidee-mill 
US4853A,Jzlisha hale 
US4854A,Twyeb 
US4855A,Twyeb 
US4856A,Deters 
US4857A,Machinery fob cutting flocks 
US4858A,Straw-cutter 
US4859A,Improvement in mowing-machines 
US4860A,denniston 
US4861A,Improvement in mowing-machines 
US4862A,Fastening-latch 
US4863A,david f 
US4864A,Improvement in machinery for cutting the threads of pointed screws 
US4865A,Improvement in harpoons 
US4866A,Circular shears 
US4867A,Truss 
US4868A,Machinery for cutting screws 
US4869A,Machinery for chamfering 
US4870A,Improvement in hillside-plows 
US4871A,Cooking-stove 
US4872A,Improvement in harpoons 
US4873A,Im p rovem ent in loo ms fo r w e avi ng w re-gauz e 
US4874A,Powder 
US4875A,Improvement in machinery for polishing knives 
US4876A,Mortising and tenoning machine 
US4877A,Apparatus for jointing staves 
US4878A,Bedstead-fastening 
US4879A,Improvement in sugar-making 
US4880A,Bedstead 
US4881A,Kasimir vogel 
US4882A,Alexander small 
US4883A,Attaching door-knobs to their collars 
US4884A,Casting door-knobs upon their collars 
US4885A,Improvement in machines for making cigars 
US4886A,Brake fob 
US4887A,Churn 
US4888A,Setting tibes upon wheels 
US4889A,Axle for carriages 
US4890A,Cooking-stove 
US4891A,wilson 
US4892A,Hiram f 
US4893A,tippett 
US4894A,Fowler m 
US4895A,And bernice s 
US4896A,robertson 
US4897A,Lady s skirt 
US4898A,Snow-plow 
US4899A,silver 
US4900A,Self-actiwo carbiage-brake 
US4901A,Improvement in cotton-gins 
US4902A,Machine fob calculating 
US4903A,Improvement in preventing incrustation of steam-boilers 
US4904A,Coffee-pot 
US4905A,Air-heating stove 
US4906A,Improvement in machines for carving 
US4907A,Slide-valve oe steam-engines 
US4908A,Machines y foe 
US4909A,Meat-cutter 
US4910A,Cooking-stove 
US4911A,charles baeder 
US4912A,Bellows for musical instruments 
US4913A,Etienne maccaud 
US4914A,Clock 
US4915A,Improvement in uterine supporters 
US4916A,Clinton 
US4917A,Nathan parkins 
US4918A,Ira holmes 
US4919A,Attaching traces to whiffletrees 
US4920A,Debien 
US4921A,Improvement in spark-arresters 
US4922A,Coffee-roaster 
US4923A,Tailor s measure 
US4924A,Improvement in machinery for raising sheet metal 
US4925A,Knife foe cutting staves 
US4926A,ingram and j 
US4927A,Walter hunt 
US4928A,Improvement in plows 
US4929A,And robert beale 
US4930A,Fountain for shower-ibati-is 
US4931A,Vill-tam joslin 
US4932A,Machine for turning irregular shapes 
US4933A,Improvement in horse-rakes 
US4934A,Hammee 
US4935A,Isaiah jennings 
US4936A,Mobtising-machine 
US4937A,Improvement in farm-sifters 
US4938A,Diapeb-piet 
US4939A,Improvement in the filtering stop-cock 
US4940A,Jesse reed 
US4941A,Planing-machine 
US4942A,Improvement in steam-presses 
US4943A,Harness-buckle 
US4944A,Smut-machine 
US4945A,Apparatus for passing suspension-wires for bridges across rivers 
US4946A,Improvement in carriage-wheels 
US4947A,Apparatus for closing doors 
US4948A,Improvement in combining metallic reeds with piano-fortes 
US4949A,shower-bath 
US4950A,Heating- elevated ovens 
US4951A,Manufacture oh hat-bodies 
US4952A,Truss 
US4953A,Machinery foe 
US4954A,Floating dry-dock 
US4955A,Machinery for planing slats 
US4956A,Straw-cutter 
US4957A,Improvement in fuses for blasting 
US4958A,Improvement in compositions for paints 
US4959A,Harness-saddle 
US4960A,Improvement in wrought-iron cannon 
US4961A,Obtaining flax-seed oil 
US4962A,Alva b 
US4963A,"Improvement in water-wheels 
     "
US4964A,Mariner s time-compass 
US4965A,f fpii 
US4966A,Barbel machinery 
US4967A,Fastening hails on bails 
US4968A,Spinal elevator 
US4969A,Improvement in thrashing-machines 
US4970A,Improvement in bleaching rosin 
US4971A,Fire-escape 
US4972A,And william h 
US4973A,Machinery eor dressing millstones 
US4974A,Cooking-stove 
US4975A,Tailor s measure 
US4976A,Improvement in plows 
US4977A,Operating railroad-switches 
US4978A,Artificial incubation 
US4979A,Coen-shellee 
US4980A,Improvement in plows 
US4981A,Mixing ob breaking dotjgh 
US4982A,Shingle-machine 
US4983A,Machine for planing 
US4984A,Henry stanton 
US4985A,Improvement in the manufacture of sugar 
US4986A,Francois dtjrand and onesiphore pecqueur 
US4987A,Halvor halvorson 
US4988A,Jonathan sullivan 
US4989A,X h hanging carriage-bodies 
US4990A,Improvement in chisels 
US4991A,bagley 
US4992A,kussell 
US4993A,Fflachinesy fok measuring and folding cloth 
US4994A,Island 
US4995A,Improvement in plows 
US4996A,Coal-stove 
US4997A,Machine for reducing and planing boards 
US4998A,Improvement in hanging carriage-bodies 
US4999A,Machinery for cleaning cotton 
US5000A,Improvement in propellers for vessels 
US5001A,Horse-power 
US5002A,Godlove k 
US5003A,philip c 
US5004A,Improvement in refining turpentine 
US5005A,Iien ry 
US5006A,Improvement in the process of manufacturing wire grating 
US5007A,Improvement in steam-presses 
US5008A,Machinery for cleaning 
US5009A,Ratchet-wrench 
US5010A,Improvement in hemp-brakes 
US5011A,V boring-machine 
US5012A,Cutting- stone 
US5013A,Improvement in apparatus for the manufacture of malleable iron 
US5014A,Stove 
US5015A,Mode of producing reciprocating and latkral motions 
US5016A,Improvement in clevises for plows 
US5017A,Self-adjusting- pendulum 
US5018A,Improvement in machinery for combing wool 
US5019A,Shirt-bosom 
US5020A,Brussels loom 
US5021A,Jambs haworth 
US5022A,Alfred stillman 
US5023A,Stocking-loom 
US5024A,Steam-cylindee 
US5025A,Horatio allen 
US5026A,Cut-off valve 
US5027A,Box fob jotjbnals 
US5028A,monohot 
US5029A,thatcher 
US5030A,pkoto-lithogkapher 
US5031A,Wheat-fan 
US5032A,Henry r 
US5033A,Jacqtjaed loom 
US5034A,Cabbiage 
US5035A,Eubuace gkate-bar 
US5036A,Auger 
US5037A,Hydraulic ram 
US5038A,Twine-stand 
US5039A,galyani 
US5040A,Crosscut steam-saw 
US5041A,wright 
US5042A,Ditching-machine 
US5043A,The graphic 
US5044A,Improvement in steam trip-hammers 
US5045A,Clock 
US5046A,Arkangrlngr valves 
US5047A,David t 
US5048A,Washing-machine 
US5049A,Improvement in machinery for making type 
US5050A,Threshing-machine 
US5051A,Valve of steam-engines 
US5052A,Hydraulic ram 
US5053A,Crosscut-sawing- machine 
US5054A,Self-detaching beake 
US5055A,Detaching houses from carriages 
US5056A,Using exhaust-steam for increasing draft in smoke-pipes 
US5057A,chambers 
US5058A,Device for closing doors 
US5059A,Feeding sawmills 
US5060A,Bedstead-fastening 
US5061A,Improvement in devices for closing doors 
US5062A,Device foe 
US5063A,Machine fob boot-lasting 
US5064A,Bennet woodcroft 
US5065A,Francis dbgbn 
US5066A,Hinge foe 
US5067A,I improvement in cotton-presses 
US5068A,Hanging shaft oe water-wheels 
US5069A,Improvement in preparing india-rubber 
US5070A,gardiner 
US5071A,George page 
US5072A,bleecker 
US5073A,Improvement in hemp-brakes 
US5074A,Driver fob mill-spindles 
US5075A,Improvement in cultivators 
US5076A,Cab-wheel 
US5077A,Fibs-engine 
US5078A,Fastening window-blinds 
US5079A,hicks 
US5080A,John plant 
US5081A,Spark-arrester 
US5082A,William selpho 
US5083A,Improvement in setting-down machines for the manufacture of tinware 
US5084A,photo-uitho 
US5085A,Changeable geaeiutg 
US5086A,Pianoforte-action 
US5087A,Bit-stock 
US5088A,"Improvement in presses for cotton, hay "
US5089A,Cookingrstove 
US5090A,Improvement in diffusers for water-wheels 
US5091A,Roofii 
US5092A,Gridikoit 
US5093A,Cheese-shelf 
US5094A,Cooking-stove 
US5095A,Of albany 
US5096A,Mabinee s compass 
US5097A,N peters photo lithogr peer wasringto d o 
US5098A,Perky g 
US5099A,Machinery foe dressing staves 
US5100A,latourandaisqof flint hill 
US5101A,Apparatus bob discharging grain 
US5102A,Ball-caster 
US5103A,Die for cutting screws 
US5104A,Improvement in carriage-wheels 
US5105A,Siphon fob 
US5106A,Wringing-machine 
US5107A,Cabkiage 
US5108A,Window-blietd 
US5109A,Wabben mansfield 
US5110A,Improvement in machinery forx 
US5111A,Frederick leypoldt 
US5112A,Cast-iron car-wheel 
US5113A,Flue-plate of stoves 
US5114A,Aib-heating furnace 
US5115A,Ship s windlass 
US5116A,Drilling-machine 
US5117A,Bedstead-fastening 
US5118A,hickok 
US5119A,Improvement in horse-rakes 
US5120A,Fastening suspender-straps 
US5121A,walter 
US5122A,X s smut-machine 
US5123A,Spabk-abbestee 
US5124A,Door-spring 
US5125A,Cooking-stove 
US5126A,Cast-iron cab-wheel 
US5127A,Cast-ikon cab-wheel 
US5128A,Brick-press 
US5129A,Operating cut-gee valves 
US5130A,Improvement in shovel-plows 
US5131A,Improvement in the reduction of iron ores 
US5132A,brown 
US5133A,Improvement in distilling 
US5134A,Machinery fob jointing staves 
US5135A,Improvement in cotton-presses 
US5136A,Improvement in distilling 
US5137A,barley 
US5138A,shelabarger 
US5139A,Cajsfkles 
US5140A,Improvement in the process of reducing copper ores 
US5141A,Improvement in fire-arms 
US5142A,Rotary steam-engine 
US5143A,Hill por 
US5144A,Improvement in water-wh eels 
US5145A,Machinery tor raising ice from ponds 
US5146A,Improvement in fire-arms 
US5147A,Fendek fob canal-boats 
US5148A,Improvement in turf-plows 
US5149A,Machikteey foe 
US5150A,Sash machisteky 
US5151A,Improvement in compositions for currying leather 
US5152A,Firexalarm 
US5153A,Boiler fob 
US5154A,Cooking-stove 
US5155A,Benjamin chambers 
US5156A,Improvement in fruit-gatherers 
US5157A,Machinery for making cop-tubes 
US5158A,Aib-tight stove 
US5159A,Machine fob cutting corn-fodder 
US5160A,Joel l 
US5161A,fleischmann 
US5162A,Apparatus for steering vessels 
US5163A,Spark-arrester 
US5164A,Musical instrument 
US5165A,Lewis  
US5166A,Harness-buckle 
US5167A,Measttbiltg cloth 
US5168A,Improvement in plows 
US5169A,Straw-cutter 
US5170A,l lx x x  
US5171A,Improvement in photographic pictures 
US5172A,Jambs nasmyth 
US5173A,Machinery for 
US5174A,Improvement in harvesting-machines 
US5175A,wina-ns 
US5176A,Truss 
US5177A,Wade haworth 
US5178A,Kotary engine 
US5179A,Vvflzzqjzzqz 
US5180A,Box fob kailroad-car axles 
US5181A,Spring for artificial teeth 
US5182A,X v ventilator 
US5183A,Emerson 
US5184A,Improvement in water-wheels 
US5185A,benson 
US5186A,Ship s block 
US5187A,Brick-moldin 
US5188A,Improvement in printing-presses 
US5189A,Improvement in reaping-machines 
US5190A,Rotary steam-engine 
US5191A,Gearing foe coifwecting feed ob pressure 
US5192A,Changing gear 
US5193A,The timbers of vessels 
US5194A,Coupling fob gabs 
US5195A,Improvement in cultivators 
US5196A,Gilbert  
US5197A,Or paring 
US5198A,Improvement in composition for fire-bricks 
US5199A,Improvement in rotary printing-presses 
US5200A,Improvement in printing-presses 
US5201A,Improvement in water-wheels 
US5202A,Timothy gilbert 
US5203A,von schmidt 
US5204A,james cantelo 
US5205A,Arthur parsey 
US5206A,Improvement in making bottles 
US5207A,Improvement in machines for cutting and grinding cornstalks 
US5208A,John h 
US5209A,Twyer 
US5210A,coston 
US5211A,Beehive 
US5212A,Richard m 
US5213A,Jacob seabtjry 
US5214A,Hydraulic engine 
US5215A,Horse-power 
US5216A,Pianoforte- action 
US5217A,Machinery fob 
US5218A,Improvement in plows 
US5219A,Improvement in propellers for vessels 
US5220A,Sele-actibtg cheese-press 
US5221A,Wbxetletree 
US5222A,Wool-burring machine 
US5223A,Improvement in water-wheels 
US5224A,V sgre 
US5225A,Latch 
US5226A,Machinery for making sheet-lead 
US5227A,Improvement in reaping-machines 
US5228A,Improvement in harvesting-machines 
US5229A,anthony 
US5230A,William lamb 
US5231A,Improvement in combining a rocking-chair and fan 
US5232A,Fike-gkate 
US5233A,India-rubber shoe 
US5234A,Henry stanton 
US5235A,Administbatedt op jas 
US5236A,Improvement in casting ordnance 
US5237A,Improvement in planting-machines 
US5238A,Apparatus for drying grain 
US5239A,antognini 
US5240A,Guard-cylinder 
US5241A,Couplingline-shafts 
US5242A,Steebiwg appabattts 
US5243A,Casting door-plates 
US5244A,Boot-pattern 
US5245A,Frederic wm 
US5246A,jennison 
US5247A,Improvement in baskets 
US5248A,Cooking-range 
US5249A,Machinery fob setting and filing saws 
US5250A,Jacob behel 
US5251A,Machinery eor rasping dyewoods 
US5252A,Window-blind fastenek 
US5253A,Lead-pipe machinery 
US5254A,Safety apparatus for steam-boilers 
US5255A,Improvement in fish-hooks 
US5256A,Improvement 
US5257A,Improvement in cotton-thinners 
US5258A,Cooking-stove 
US5259A,Mode of heating wheel-tikes 
US5260A,Cooking-stove 
US5261A,Alexander ttjrnbtjll 
US5262A,Mill for grinding mustard 
US5263A,Ctjebycomb 
US5264A,Apparatus for operating carriage-brakes 
US5265A,Cooking-stove 
US5266A,Mill eor grinding corn in the cob 
US5267A,Scrubbing-brush 
US5268A,Improvement in the construction of vessels 
US5269A,Improvement in the manufacture of soap 
US5270A,Constbtjction of limekilns 
US5271A,Improvement in preparing india-rubber 
US5272A,Improvement in feed-rollers forcarding-machlnes 
US5273A,George w 
US5274A,Preparing wool and cotton for garding 
US5275A,fleischmann 
US5276A,Improvement in making sugar 
US5277A,philip 
US5278A,Improvement in type-casting 
US5279A,Sash-fastenek 
US5280A,Machinery eor spinning 
US5281A,Caeriage-bodies 
US5282A,Ziba parkhurst 
US5283A,Best available copv- 
US5284A,Steering apparatus for vessels 
US5285A,James bingham 
US5286A,Improvement in fountain-pens 
US5287A,Construction of chimneys 
US5288A,Improvement in compositions for lubricating machinery 
US5289A,Office 
US5290A,Improvement in machines for hoeing land 
US5291A,Improvement in horse-rakes 
US5292A,Improvement in preparing materials for lemonade 
US5293A,Machinery foil malflifactubing hingjes 
US5294A,Improvement in coloring the plates for artificial teeth 
US5295A,Hydrostatic stop foe 
US5296A,Cooking-stove 
US5297A,Bridge 
US5298A,Grindino-mill 
US5299A,Oil-cloth carpeting 
US5300A,Joseph battin 
US5301A,Improvement in portable machineryfor planing metals 
US5302A,Molding and pressing glass 
US5303A,Glass co 
US5304A,Improvement in preparing and hardening raw hides 
US5305A,Window-blind eastener 
US5306A,Improvement in machinery for turning bowls 
US5307A,I evens bagkus 
US5308A,Propelling cabs 
US5309A,Hot-air fctbnace 
US5310A,Operating cut-off valves 
US5311A,Thomas sewell 
US5312A,Improvement in water-wheels 
US5313A,William miller 
US5314A,pease 
US5315A,Improvement in compositions for door-knobs 
US5316A,Improvement 
US5317A,Lffhoqrapher 
US5318A,Richard collins 
US5319A,pkoto-tltho 
US5320A,Improvement in dlst 
US5321A,Improvement in chronometric locks 
US5322A,Grain and straw separator 
US5323A,Improvement in machinery for twisting and rolling iron 
US5324A,Cooking-stove 
US5325A,Jointed pipe-eojv steam 
US5326A,Peters 
US5327A,Ornamenting book-covers 
US5328A,Machinery for 
US5329A,peters 
US5330A,Improvement in swings 
US5331A,Improvement in welding cast-iron to malleable iron or steel 
US5332A,Improvement in cotton-presses 
US5333A,Improvement in lubricating compounds 
US5334A,Improvement in cutter-heads for plan ing-machines 
US5335A,Improvement in reaping-machines 
US5336A,Sawinor hand-bails foe stairs 
US5337A,Machinery for laying roving- in cans 
US5338A,Bolt fob doobs 
US5339A,Kasimir vogel 
US5340A,Improvement in cotton-thinning plows 
US5341A,Regulating the speed oe drawing-heads 
US5342A,lochman 
US5343A,buffum 
US5344A,Improvement in ship-building 
US5345A,William h 
US5346A,Improvement in machinery for the manufacture of wire rope 
US5347A,Improvement in machinery for clearing snow and ice from railroad-tracks 
US5348A,Horse-power 
US5349A,Washing-machine 
US5350A,Watee-wheel 
US5351A,shepard 
US5352A,Ooqoq 
US5353A,Washing-machine 
US5354A,Coupling fob cabs 
US5355A,Washing-machine 
US5356A,Improvement in chimney-caps 
US5357A,Stuffing-box 
US5358A,Island 
US5359A,Combination lock and key 
US5360A,Cab-wheel 
US5361A,Cae-wheel 
US5362A,Ice-ctjttee 
US5363A,Improvement in hillside-plows 
US5364A,Horseshoe-machinel 
US5365A,Said gould 
US5366A,Bbidge 
US5367A,Improvement in machinery for ascending and descending inclined planes 
US5368A,Improvement in ship-building 
US5369A,Cotton-cleaner 
US5370A,Alarm for steam-boilers 
US5371A,campbell 
US5372A,Pebcolating apparatus 
US5373A,Improvement in machinery for preparing husks for mattresses 
US5374A,Edward harrison 
US5375A,James haggart 
US5376A,Improvement in bog-cutters 
US5377A,Heating water eoe bathing 
US5378A,Spinning machineby 
US5379A,Loom for weaving 
US5380A,Gage used in finishing spiral hand-rails 
US5381A,Self-acting cheese-press 
US5382A,pollock 
US5383A,Improvement in decom posing alkaline and other salts 
US5384A,Improvement in decomposing potash-feldspar for obtaining certain salts 
US5385A,"Improvement in connecting-rods, pitmen "
US5386A,Bbick-press 
US5387A,Bedstead-fastening 
US5388A,Boat fob sailing 
US5389A,Improvement in machinery for workingsh eet-i ron 
US5390A,Improvement in sofa-tables 
US5391A,Island 
US5392A,Begulatob fob machineby 
US5393A,Apparatus for clubfeet 
US5394A,Peters 
US5395A,Improvement in abdominal-supporters 
US5396A,Dbagoon-saddletbee 
US5397A,Self-acting cheese-press 
US5398A,Machinery for grinding knives which have warped surfaces 
US5399A,Kolliltgr and compressing puddlers  balls 
US5400A,Improvement in galvanic batteries for telegraphs 
US5401A,Pump eob raising water 
US5402A,Muzzle foe bifles 
US5403A,Improvement in disinfecting compounds 
US5404A,John watson 
US5405A,Improvement in paddle-wheels 
US5406A,Pence 
US5407A,Fence 
US5408A,brown 
US5409A,Improvement in purifying liquids by galvanism 
US5410A,Winnowina-machine 
US5411A,Machine sob 
US5412A,Cosman white 
US5413A,Improvement in hanging carriage-bodies 
US5414A,Folding shower-bath 
US5415A,Cooking-stove 
US5416A,Spinning-frame 
US5417A,Making hoes 
US5418A,Hot-water 
US5419A,Improvement in the manufacture of prussiates of potash and soda 
US5420A,Improvement in machines for rubbing types 
US5421A,Making shirts 
US5422A,Spark-arrester 
US5423A,Egbert dillon 
US5424A,Car-wheel 
US5425A,Raising tilting buckets 
US5426A,Samuel adams 
US5427A,Molasses-faucet 
US5428A,Molasses-faucet 
US5429A,Improvement in wheel-cultivators 
US5430A,Molasses-faucet 
US5431A,Faucet 
US5432A,Improvement in machinery for knitting 
US5433A,Lewis tupper 
US5434A,Drawing-boll fob spinning machinery 
US5435A,Improvement in revolving spring-punches 
US5436A,Air-heating furnace 
US5437A,Sash-fasteneb 
US5438A,Okgan-piano 
US5439A,Cooking-stove 
US5440A,Coal-beeaker 
US5441A,Lady s cobbed skikt 
US5442A,Improvement in molding hollow ware 
US5443A,Improvement in machinery for sanding paper 
US5444A,Machinery tor making brooms 
US5445A,Store 
US5446A,Improvement in potato-planters 
US5447A,Plate for artificial teeth 
US5448A,Marking-machine 
US5449A,Cooking-stove 
US5450A,Edwaed l 
US5451A,Improvement in machines for roping bales of goods 
US5452A,Antifriction box and axle 
US5453A,Improvement in presses 
US5454A,Improvement in making sugar 
US5455A,Spinning-machine 
US5456A,Machine foe 
US5457A,Behch-vise 
US5458A,Bench-vise 
US5459A,Hot-air furnace 
US5460A,Improvement in seed-planting machines 
US5461A,Improvement in the reduction of copper ores 
US5462A,Elisha barlow 
US5463A,George welsh 
US5464A,Block for hokse-collaes 
US5465A,Harness-buckle 
US5466A,Lead-pipe machiiteby 
US5467A,Cutting boots 
US5468A,elnathan smith 
US5469A,Mode op taking yeas and nays in legislative bodies 
US5470A,Improvement in the manufacture of spoons 
US5471A,Refkigekator 
US5472A,Machinery for dressing- combs 
US5473A,Spoon 
US5474A,Cooking-stove 
US5475A,The graphic co 
US5476A,Harness-saddle 
US5477A,Charles perley 
US5478A,Cooking-stove 
US5479A,Twyer 
US5480A,John coates 
US5481A,Apparatus eob turning 
US5482A,Washing-machine 
US5483A,Improvement in type-smoothing machines 
US5484A,Wool-pickeb 
US5485A,Improvement in electrical machines 
US5486A,Joinee s plane 
US5487A,Hollow auger 
US5488A,Cooking-stove 
US5489A,Wkotjght-itail machinery 
US5490A,Improvement in fire and weather proof composition or artificial slates 
US5491A,Washing-machine 
US5492A,Fastening eor books 
US5493A,Ktjnning-geab of railroad-cars 
US5494A,Windlass 
US5495A,Improvement in painting on translucent surfaces 
US5496A,Lewis smith 
US5497A,Operating and fastening window-blinds 
US5498A,Blower fob fuknaces 
US5499A,Machinery eob jointing staves 
US5500A,Cane-umbrella 
US5501A,hill and r 
US5502A,Cooking-stove 
US5503A,Smtit-machine 
US5504A,Cooking-stove 
US5505A,Sash-eastenek 
US5506A,Jackson stjtton 
US5507A,Improvement in magneto-electric machines for giving shocks 
US5508A,Teap foe 
US5509A,Ghaut-separator 
US5510A,Operating brakes for cars 
US5511A,Plate foe 
US5512A,Filter 
US5513A,Improvement in blowers for furnaces 
US5514A,Hanging bodies of two-wheeled carriages 
US5515A,Spring- fob closing doors 
US5516A,Combining lantebns and lamps 
US5517A,Grain-drier 
US5518A,Geaijst-drieb 
US5519A,Grain-drier 
US5520A,Oegan-pipb 
US5521A,Hinge foe 
US5522A,Improvement in seed-planters 
US5523A,Improvement in machinery for trimming books 
US5524A,Grain-dkiek 
US5525A,Printing paper hangings 
US5526A,Improvement in plows 
US5527A,Ship s windlass 
US5528A,Improvement in casting rolls 
US5529A,Improvement in plows 
US5530A,Horse-power 
US5531A,Annealing and cooling cast-iron cab-wheels 
US5532A,Improvement in locomotives 
US5533A,Mill for crushing and grinding 
US5534A,Improvement in manufacture of velluted cloth 
US5535A,Improvement in sand-paper 
US5536A,Improvement in making hollow articles of india-rubber 
US5537A,Tail-block of sawmills 
US5538A,Spakk-arbestek 
US5539A,Improvement in dissolving and softening gutta-percha and caoutchouc 
US5540A,William b 
US5541A,Spark-arrester 
US5542A,Bivet-hachiwe 
US5543A,of jbesey city 
US5544A,Smith s bellows 
US5545A,Improvement in machinery for separating gold 
US5546A,Improvement in locomotive steam-boilers 
US5547A,Improvement in anchors 
US5548A,Cokn-sheller 
US5549A,Sash-fastener 
US5550A,Eurwace 
US5551A,Brick-kiln 
US5552A,Paul stillman 
US5553A,Cane-umbrella 
US5554A,Improvement in the formation of dies 
US5555A,Cosme brailly 
US5556A,Scheidt 
US5557A,Improvement in locks for doors 
US5558A,Peters 
US5559A,Weathek-strip for doors 
US5560A,Atmospheric churn 
US5561A,Atmospheric churn 
US5562A,Beater-cylinder for cleaning wool and cotton 
US5563A,John drummond 
US5564A,Machinery eob 
US5565A,Shoulder-brace 
US5566A,Weathee-stbip foe doors 
US5567A,Atmospheric chuek 
US5568A,Improvement in electric telegraphs 
US5569A,Corn-sheller 
US5570A,Nathan towson 
US5571A,Improvement in machines for bending sheet metal 
US5572A,Weather-strip for doors 
US5573A,Churn 
US5574A,Ghaut-drier 
US5575A,Alfred t 
US5576A,Machine for dipping candles 
US5577A,Machinery for dressing stones 
US5578A,Cobn-shelleb 
US5579A,Eixttjee for 
US5580A,Machine fob hulling clover-seed 
US5581A,Improvement in clevises 
US5582A,Fireproof safe 
US5583A,Releasing horses 
US5584A,Island 
US5585A,Churn 
US5586A,Brick-machine 
US5587A,Improvement in horse-rakes 
US5588A,Edmund warren 
US5589A,"Improvement in making flexible syringes, tubes "
US5590A,hancock 
US5591A,Pump fob 
US5592A,brooman 
US5593A,"Improvement in making boots, shoes "
US5594A,Threshing-machine 
US5595A,Grain-separator 
US5596A,Alonzo d 
US5597A,Improvement in presses 
US5598A,Improvement in the manufacture of spoons 
US5599A,Clo veb 
US5600A,Threshing-machine 
US5601A,Improvement in ice-cream freezers 
US5602A,James p 
US5603A,David warren 
US5604A,Cooking-stove 
US5605A,photo-litho 
US5606A,Latch for fastening doors 
US5607A,remington 
US5608A,Hinge fob 
US5609A,photo-litho 
US5610A,Brick-press 
US5611A,Sands c 
US5612A,Improvement in telegraph-manipulators 
US5613A,Improvement 
US5614A,Machinery for cutting cog-wheels 
US5615A,Tempering clay 
US5616A,watson 
US5617A,Brick-press 
US5618A,Brick-press 
US5619A,Hook foe 
US5620A,William a 
US5621A,Furnace for steam-boilers 
US5622A,Straw-cutter 
US5623A,Improvement in propellers 
US5624A,Fastening foe 
US5625A,Machinery for cutting and punching copper sheathing 
US5626A,Pulley eoe 
US5627A,Smut-machine 
US5628A,Weaver s shuttle 
US5629A,Meat-ctjttek 
US5630A,Machine for separating straw from grain 
US5631A,Pianoeobte 
US5632A,Improvement in cotton-presses 
US5633A,Improvement in water-wheels 
US5634A,Peters 
US5635A,Drafting and measuring garments 
US5636A,Improvement in the process of chilling castings 
US5637A,Improvement in water-wheels 
US5638A,Kiln for drying grain 
US5639A,Improvement in cultivators 
US5640A,Brick-pbess 
US5641A,Improvement in sofa-bedsteads 
US5642A,Straw-cuttek 
US5643A,Improvement in cardi ng-mach in es 
US5644A,Improvement in apparatus for the increase of the speed of vessels 
US5645A,Improvement in water-wheels 
US5646A,Sofa-bed 
US5647A,Back and pinion 
US5648A,Calvin emmons 
US5649A,Bedstead-fastening 
US5650A,Bedstead-fastening 
US5651A,Tjel west and nathan thompson 
US5652A,Gbate for stoves 
US5653A,letbllier 
US5654A,Door-spring 
US5655A,Improvement in seed-planters 
US5656A,Bedstead 
US5657A,Sebaphine 
